Name,Price
"Furama City Centre, Singapore",131
"Hotel 81 Palace, Singapore",50
"Campbell Inn, Singapore",37
"Hotel Grand Pacific, Singapore",117
"Park Hotel Alexandra, Singapore",129
"Hotel Mono, Singapore",95
"Q Loft Hotels @ Bedok, Singapore",92
"Hotel Royal Clean, Singapore",146
Singapore Marriott Tang Plaza Hotel,449
"Hotel Clover 769 North Bridge Road, Singapore",81
"Maxwell Reserve Singapore, Autograph Collection",444
"Hotel 81 Oasaka, Singapore",78
"Hotel Yan, Singapore",134
Andaz Singapore - A concept by Hyatt,471
Ibis Budget Singapore Ruby,66
"Galaxy pod Chinatown, Singapore",50
"InterContiental Singapore Robertson Quay, an IHG Hotel",289
"Lion Peak Hotel Purvis, Singapore",122
"Spacepod @ hive, Lavendar, Singapore",42
Ibis Budget Singapore Emerald,72
"Hotel Clover The Arts, Singapore",95
"Lion Peak Hotel Bugis, Singapore",74
"Hotel 1929, Singapore",74
"Park View Hotel, Bugis, Singapore",91
"Porcelain Hotel by JL Asia, Singapore",99
"Backpacker Cozy Corner Guesthouse, Singapore",43
"Strand Hotel, Singapore",125
"Orchid Country Club, Singapore",156
"Hotel 81 Elegance, Singapore",64
"Hotel NuVe Stellar, Singapore",116
"Hotel 81 Lucky, Singapore",47
"Champion Hotel, Katong, Singapore",78
"Hotel NuVe Elements, Singapore",135
"Oasia Reosrt Sentosa, Singapore",348
"Grand Copthorne Waterfront, Singapore",172
"New Cape Inn, Singapore",99
Hotel 81 Kovan,64
"Shipping Container Hotel at Haw Par Villa, Singapore",169
Hotel Calmo Bugis,74
"Philip Hotel, Little India, Singapore",103
Hotel Soloha Chinatown Singapore,118
"CBE Family Boutique Capsule Hotel, Chinatown, Singapore",81
"Hotel Bencoolen Hong Kong Street, Singapore",146
"The Great Madras by Hotel Calmo, Singapore",87
"Arcadia Hotel, Singapore",127
"MET A Space Pod at Arab Street, Singapore",67
"Park Avenue Rochester, Singapore",131
"Ibis Budget, Queenstown, Singapore",114
"Arianna Hotel, Little India, Singapore",51
Oakwood Premier AMTD Singapore,253
"The quat Hotel Lavender, Singapore",101
"Lion Peak Hotel Raffles, Singapore",78
"The Southbridge Hotel, Singapore",108
"The Daulatby Hotel Calmo, Singapore",109
"Perak Hotel, singapore",127
"Furama Riverfront, Singapore",178
"Hotel Clover 7, Singapore",90
"Classique Hotel, Singapore",76
"Parc Soverign Hotel Albert Street, Singapore",111
"Tai Hoe Hotel, Singapore",67
Ibis Budget Singapore Pearl,83
"Hipstercity Hostel, Singapore",68
Conrad Centennial Singapore,328
"Nostalgia Hotel, Singapore",120
"Changi Cove, Singapore",110
"Harbour Ville Hotel Hamilton, Singapore",84
Ibis Budget Singapore Sapphire,75
"Urbane Clean, Singapore",118
"Fragrance Hotel - Balestier, Singapore",66
"RedDoorz Premium @ Balestier, Singapore",77
"BEAT. Capsulte Hostel @ Boat Quay, Singapore",50
Raffles Singapore,1192
Ibis Budget Singapore Crystal,83
"Circular House, Singapore",155
"Hotel Calmo Chinatwon, Singapore",59
"RELC International Hotel, Singapore",144
"Arton Boutique Hotel, Singapore",107
Ascott Orchard Singapore,396
"YWCA Fort Canning, Singapore",107
"Dream Lodge, Lavendar, Singapore",74
"Hotel NuVe, Kampong Glam, Singapore",106
"Check-Inn at Little India, Singapore",76
"Amrise Hotel, Singapore",45
"Hotel 81 Fuji, Singapore",57
"The Pod @ Beach Road Boutique Capsule Hotel, Singapore",59
"7 Wonders Hostel @ Upper Dickson, Singapore",34
"Hi Hotel Dot, Singapore",95
"Hi Hotel, Kampong Glam, Singapore",152
Ibis Budget Hotel Singapore Mount Faber,99
"K Hotel Aliwal, Singapore",62
"Butternut Tree Hotel, Singapore",86
"Hotel Duke, Geylang, Singapore",42
"K Hotel 14, Singapore",57
"Blanc Inn, Lavender, Singapore",79
"The Keong Saik Hotel, Singapore",108
"Victoria Hotel, Singapore",107
Ibis Budget Singapore Amertine,84
"New Orchid Hotel, Singapore",58
"K Hotel 1515, Singapore",57
"K Hotel 8, Singapore",51
"OSS Backpackers Hostel, Singapore",37
"ST Signature Bugis Beach, Singapore",90
Resorts World Sentosa - Beach Villas,768
Beary Best! Chinatown by beary good hostel,71
"ST Signature Bugis Beach, Singapore",55
"Fragrance Hotel - Rose, Singapore",61
Ascott Raffles Place Singapore,446
"Resorts World Sentosa -  Crockfords Tower, Singapore",599
"Seaside Glamping @ Heritage Chalet, Singapore",230
"Bluewaters Pods @ Bugis, Singapore",58
"Recharge Studio Apartments & Suites, Singapore",155
"BEAT. Sports Hostel, Singapore",109
"7 Wonders Boutique Capsule, Singapore",43
"Jayleen 1918, Singapore",97
"Fragrance Hotel - Oasis, Singapore",66
"Santa Grand Hotel East Coast, Singapore",101
"ST Signature Tanjong Pagar, Singapore",89
"Heritage Collection on Boat Quay, Quayside Wing, Singapore",296
"K2 Guesthouse, Singapore",94
"Sandpiper Hote, Singapore",84
"Fragrance Hotel - Kovan, Singapore",76
"ST Singature Chinatown, Singapore",69
"Fragrance Hotel - Ocean View, Singapore",90
"Snooze Inn @ Dickson Road, Singapore",86
"Fragrance Hotel - Classic, Singapore",64
"ST Signature Jalan Besar, Singapore",75
"Fragrance Hotel, Viva, Singapore",88
"Greendili Backpackers Hostel, Singapore",65
"Deluxe Studio & Suite by Recharge, Singapore City Centre",145
"K Hotel 12, Geylang Singapore",70
CUBE Boutique Capsule hotel @ Chinatown,74
"Duxton Reserve Singapore, Autograph Collection",473
"Rucksack Inn at Tyrwhitt, Singapore",79
"Aliwal Park Hotel, Singapore",76
