,ID,floor_area_sqm,mean_resale_price,Closest distance to Marina Bay Sands,Closest distance to Resorts World Casino Sentosa,geometry,Closest distance to a hotel,Closest distance to a park,Traffic lights within 500 meters,Parking lots within 500 meters
944,block 301 TAMPINES,111.63636363636364,424836.6675324675,11266.640206553264,11266.640206553264,POINT (103.93102912719868 1.35828095),3446.4064248378895,1501.0884756363776,0,566
945,block 302 ANG MO KIO,75.2,343454.8297274144,11646.10442013269,11646.10442013269,POINT (103.84368975 1.3885722999999999),1317.7252497262375,560.6731434629427,1,15
946,block 302 CLEMENTI,92.0,439364.7443181818,9908.878813117522,9908.878813117522,POINT (103.77598114983843 1.3320357),3310.2419284511247,640.3661625490062,0,0
947,block 302 JURONG EAST,76.04166666666667,291680.08065249,7123.494156834656,7123.494156834656,POINT (103.77035442218084 1.2935294499999999),239.2187102773191,670.7818433126779,0,151
948,block 303 BISHAN,116.66666666666669,623203.0606060605,9549.300637849754,9549.300637849754,POINT (103.83203356097692 1.3659908),3182.6130892712904,459.57555114117594,1,17
949,block 303 CLEMENTI,71.79166666666667,333891.7096219931,9908.878813117522,9908.878813117522,POINT (103.77598114983843 1.3320357),3310.2419284511247,640.3661625490062,0,0
950,block 303 JURONG EAST,86.0,291199.0409413282,7123.494156834656,7123.494156834656,POINT (103.77035442218084 1.2935294499999999),239.2187102773191,670.7818433126779,0,151
951,block 303 SERANGOON,62.875,294997.8531746032,7533.190369947071,7533.190369947071,POINT (103.88071076652449 1.34987515),510.10654821249756,333.56376832574705,0,11
952,block 303 TAMPINES,124.57142857142856,488279.3333333334,11314.499537914988,11314.499537914988,POINT (103.93169459451332 1.35823695),3404.4861999485365,1427.6130152207304,0,588
953,block 303 YISHUN,89.91666666666667,314943.955399061,17076.156583567823,17076.156583567823,POINT (103.8403992 1.4377325),2548.4351442963457,592.4052691241836,0,0
954,block 304 BUKIT BATOK,83.0,301565.7853291317,15403.994540802376,15403.994540802376,POINT (103.75266284937962 1.3758846999999998),5122.985054434597,405.18110235112067,1,0
955,block 304 CLEMENTI,73.5,333740.8934579439,9908.878813117522,9908.878813117522,POINT (103.77598114983843 1.3320357),3310.2419284511247,640.3661625490062,0,0
956,block 304 GEYLANG,69.76923076923077,298858.9743589744,6480.1666132449545,6480.1666132449545,POINT (103.89459637858039 1.3325653499999999),1209.8330121330523,1421.4281268603972,1,233
